Method,Iteration,Effective_Points,RMSE,Fitness,Cond_Schur_Rot,Cond_Schur_Trans,Cond_Diag_Rot,Cond_Diag_Trans,Cond_Full_EVD_Sub_Rot,Cond_Full_EVD_Sub_Trans,Cond_Full_SVD,Lambda_Schur_Rot_0,Lambda_Schur_Rot_1,Lambda_Schur_Rot_2,Lambda_Schur_Trans_0,Lambda_Schur_Trans_1,Lambda_Schur_Trans_2,Eigenvalues_Full_0,Eigenvalues_Full_1,Eigenvalues_Full_2,Eigenvalues_Full_3,Eigenvalues_Full_4,Eigenvalues_Full_5,Singular_Values_0,Singular_Values_1,Singular_Values_2,Singular_Values_3,Singular_Values_4,Singular_Values_5,Is_Degenerate,Degenerate_Mask_0,Degenerate_Mask_1,Degenerate_Mask_2,Degenerate_Mask_3,Degenerate_Mask_4,Degenerate_Mask_5
FCN-SR,0,197,0.316698,0.0517059,7.0989,26.8056,13.6582,85.2925,13.6737,26.6512,14845.7,422.505,1447.74,2999.32,0.629416,5.60185,16.8719,0.629297,5.58111,16.7715,683.235,1993.28,9342.34,9342.34,1993.28,683.235,16.7715,5.58111,0.629297,1,1,1,1,1,0,0
FCN-SR,1,237,0.309276,0.060566,7.86318,29.776,9.53179,38.9803,9.52906,29.6363,12511.4,513.141,2298.8,4034.92,0.881114,7.27906,26.2361,0.880514,7.25808,26.0952,1156.09,3341.25,11016.4,11016.4,3341.25,1156.09,26.0952,7.25808,0.880514,1,1,1,1,0,0,0
FCN-SR,2,248,0.250782,0.060566,4.69206,26.0277,5.9148,44.1912,5.93218,25.932,15213.8,803.589,3064.41,3770.49,0.933487,7.33439,24.2965,0.932957,7.31218,24.1935,2392.69,6688.06,14193.9,14193.9,6688.06,2392.69,24.1935,7.31218,0.932957,1,1,1,1,0,0,0
FCN-SR,3,283,0.202265,0.0583179,6.24066,21.3472,16.0042,47.1733,16.0555,21.2688,13174.6,808.717,1576.9,5046.93,1.36414,7.6771,29.1206,1.36339,7.64769,28.9976,1118.76,14295.3,17962.2,17962.2,14295.3,1118.76,28.9976,7.64769,1.36339,1,1,1,1,1,0,0
FCN-SR,4,296,0.197354,0.0596403,5.33563,20.8636,11.7529,48.011,11.7941,20.7873,12343.2,966.122,1974.47,5154.87,1.46938,8.1736,30.6566,1.46867,8.14043,30.5298,1537.04,14778,18128,18128,14778,1537.04,30.5298,8.14043,1.46867,1,1,1,1,1,0,0
FCN-SR,5,295,0.201576,0.0592436,5.47937,20.9428,11.4055,46.5005,11.4443,20.8661,11903.8,920.549,1926.75,5044.03,1.44949,8.01368,30.3564,1.44875,7.98044,30.2297,1506.93,14190.2,17245.7,17245.7,14190.2,1506.93,30.2297,7.98044,1.44875,1,1,1,1,1,0,0
FCN-SR,6,297,0.19788,0.0589791,5.62011,21.132,11.6945,47.4439,11.7341,21.0538,12068.9,902.778,1913.73,5073.71,1.44935,7.98996,30.6277,1.44859,7.95625,30.4984,1489.92,14251.9,17482.9,17482.9,14251.9,1489.92,30.4984,7.95625,1.44859,1,1,1,1,1,0,0
FCN-SR,7,298,0.198396,0.0588469,5.61351,20.87,11.7122,47.0471,11.752,20.7922,11803.7,904.729,1910.71,5078.71,1.47446,8.06954,30.772,1.47369,8.03527,30.6413,1480.18,14096.6,17395,17395,14096.6,1480.18,30.6413,8.03527,1.47369,1,1,1,1,1,0,0
FCN-SR,8,296,0.198041,0.0583179,5.74652,20.916,11.7198,46.8211,11.7597,20.8382,11773.6,882.557,1873.12,5071.63,1.47362,7.82782,30.8223,1.47281,7.79459,30.6907,1474.55,13866.9,17340.3,17340.3,13866.9,1474.55,30.6907,7.79459,1.47281,1,1,1,1,1,0,0
FCN-SR,9,294,0.196638,0.0580534,5.79527,20.8877,11.7265,46.6757,11.7663,20.8104,11779.5,872.915,1866.77,5058.78,1.46915,7.7642,30.6872,1.46833,7.73117,30.5565,1469.98,13838.5,17296.3,17296.3,13838.5,1469.98,30.5565,7.73117,1.46833,1,1,1,1,1,0,0
FCN-SR,10,292,0.19579,0.0577889,5.79728,20.6503,11.7251,46.2301,11.7647,20.5744,11734.3,870.103,1861.32,5044.23,1.47299,7.72615,30.4177,1.47216,7.69328,30.2888,1468.36,13825.4,17274.8,17274.8,13825.4,1468.36,30.2888,7.69328,1.47216,1,1,1,1,1,0,0
FCN-SR,11,292,0.19578,0.0577889,5.79572,20.6654,11.7259,46.269,11.7655,20.5895,11744,869.83,1861.48,5041.29,1.47165,7.72409,30.4122,1.47082,7.69123,30.2834,1468.13,13825.8,17273.3,17273.3,13825.8,1468.13,30.2834,7.69123,1.47082,1,1,1,1,1,0,0
ME-SR,0,197,0.316698,0.0517059,7.0989,26.8056,13.6582,85.2925,13.6737,26.6512,14845.7,422.505,1447.74,2999.32,0.629416,5.60185,16.8719,0.629297,5.58111,16.7715,683.235,1993.28,9342.34,9342.34,1993.28,683.235,16.7715,5.58111,0.629297,1,1,1,1,0,0,0
