Method,Run,Iteration,RMSE,Fitness,Time_ms,Trans_Error_m,Rot_Error_deg,P2P_RMSE,Chamfer_Distance,dx_wx,dx_wy,dx_wz,dx_x,dx_y,dx_z,grad_wx,grad_wy,grad_wz,grad_x,grad_y,grad_z,objective_value,T_00,T_01,T_02,T_03,T_10,T_11,T_12,T_13,T_20,T_21,T_22,T_23,T_30,T_31,T_32,T_33,Cond_Schur_Rot,Cond_Schur_Trans,Cond_Sub_Rot,Cond_Sub_Trans,Cond_Full_SVD,Degenerate_0,Degenerate_1,Degenerate_2,Degenerate_3,Degenerate_4,Degenerate_5,Is_Degenerate
FCN-SR,0,0,0.31669773,0.05170590,9.38083400,1.91178129,0.96437649,0.00972164,0.76974483,-0.00143275,-0.00549564,-0.00174734,-0.00034987,0.00011033,0.00000561,-11.53098942,58.00713490,10.00087886,4.90875050,1.81945118,0.28048504,3.71012454,0.99944345,-0.03314869,-0.00373602,0.19964650,0.03314729,0.99945038,-0.00043842,0.80009804,0.00374850,0.00031433,0.99999292,0.50000642,0.00000000,0.00000000,0.00000000,1.00000000,7.09889815,26.80557587,13.65817741,85.29248112,14845.67227786,1,1,1,1,0,0,1
FCN-SR,0,1,0.30927616,0.06056599,3.08713800,2.89617938,0.96336666,0.01874004,0.81372054,0.03150344,-0.01237348,0.00261072,-0.00198644,-0.00116576,0.00080401,-26.58300058,58.65789994,3.79042564,4.95766969,3.44093513,0.22354285,4.48016415,0.99923710,-0.03605329,-0.01501237,0.19769681,0.03555320,0.99884428,-0.03234309,0.79886672,0.01616109,0.03178468,0.99936407,0.50080261,0.00000000,0.00000000,0.00000000,1.00000000,7.86318240,29.77604976,9.53178841,38.98028323,12511.35022448,1,1,1,0,0,0,1
FCN-SR,0,2,0.25078158,0.06056599,3.60039800,3.58342231,0.96264126,0.02285930,0.90792434,0.01969999,0.00196127,-0.00349380,0.00021974,-0.00088912,-0.00007024,-132.01448645,-11.30692794,9.85876823,0.60836140,9.94820478,-0.28825822,3.73866187,0.99938430,-0.03283155,-0.01237385,0.19794949,0.03214723,0.99813226,-0.05194757,0.79798872,0.01405626,0.05151780,0.99857315,0.50070771,0.00000000,0.00000000,0.00000000,1.00000000,4.69206279,26.02769852,5.91480015,44.19115256,15213.83310348,1,1,1,0,0,0,1
FCN-SR,0,3,0.20226536,0.05831791,1.27209800,3.66258045,0.96255304,0.02312043,0.91792430,0.00140554,-0.00088929,0.00004485,-0.00005921,-0.00008897,0.00000286,-19.40422680,14.22423145,0.92766160,2.02699388,5.28201245,-0.30836140,2.79739572,0.99937145,-0.03289435,-0.01321639,0.19789320,0.03214516,0.99805680,-0.05337902,0.79789786,0.01494658,0.05292062,0.99848686,0.50070515,0.00000000,0.00000000,0.00000000,1.00000000,6.24066429,21.34723700,16.00420337,47.17326136,13174.64735246,1,1,1,1,0,0,1
FCN-SR,0,4,0.19735354,0.05964031,1.60573500,3.70440458,0.96250674,0.02294889,0.92336861,0.00083325,-0.00012081,0.00001705,-0.00000936,-0.00005254,0.00000106,-12.12362885,1.84745602,4.06429390,1.33810977,4.88658803,-0.30887321,2.84773379,0.99936928,-0.03292245,-0.01330970,0.19788556,0.03215568,0.99801142,-0.05421451,0.79784506,0.01506811,0.05375234,0.99844060,0.50070329,0.00000000,0.00000000,0.00000000,1.00000000,5.33563353,20.86360318,11.75286680,48.01104021,12343.15208729,1,1,1,1,0,0,1
FCN-SR,0,5,0.20157618,0.05924359,1.38900100,3.73107825,0.96247695,0.02313002,0.92685798,0.00052690,-0.00008710,0.00001120,-0.00000676,-0.00003360,0.00000072,-7.32135737,1.05029846,4.03445943,1.23098105,4.82704412,-0.32649597,2.97550475,0.99936775,-0.03294067,-0.01337940,0.19787991,0.03216211,0.99798236,-0.05474316,0.79781127,0.01515568,0.05427824,0.99841083,0.50070210,0.00000000,0.00000000,0.00000000,1.00000000,5.47936971,20.94281950,11.40552594,46.50047177,11903.83844466,1,1,1,1,0,0,1
FCN-SR,0,6,0.19788037,0.05897911,1.27774100,3.74681853,0.96245868,0.02318486,0.92887635,0.00024477,-0.00029574,0.00000856,-0.00001989,-0.00001639,0.00000088,-3.09280318,4.85634134,4.19130990,1.57442828,4.51209873,-0.32478979,2.92315104,0.99936347,-0.03295253,-0.01366689,0.19786056,0.03215442,0.99796865,-0.05499695,0.79779422,0.01545142,0.05452249,0.99839298,0.50070178,0.00000000,0.00000000,0.00000000,1.00000000,5.62010867,21.13199225,11.69448941,47.44393886,12068.90589468,1,1,1,1,0,0,1
FCN-SR,0,7,0.19839565,0.05884687,1.26052000,3.75508557,0.96244906,0.02316085,0.92994380,0.00012804,-0.00015569,0.00000432,-0.00001052,-0.00000861,0.00000047,-1.49075563,2.52834681,4.27599755,1.47670748,4.46865323,-0.32585537,2.95743774,0.99936119,-0.03295861,-0.01381826,0.19785032,0.03215016,0.99796146,-0.05512973,0.79778527,0.01560709,0.05465026,0.99838358,0.50070162,0.00000000,0.00000000,0.00000000,1.00000000,5.61351282,20.86995845,11.71218441,47.04710457,11803.70842019,1,1,1,1,0,0,1
FCN-SR,0,8,0.19804085,0.05831791,1.28373900,3.76210528,0.96244117,0.02279017,0.93086967,0.00014152,-0.00001179,0.00000245,-0.00000114,-0.00000908,0.00000018,-1.78063720,0.04692309,4.26318495,1.19227628,4.40316168,-0.31961881,2.92510633,0.99936094,-0.03296301,-0.01382539,0.19784948,0.03215196,0.99795357,-0.05527134,0.79777616,0.01561900,0.05479151,0.99837565,0.50070129,0.00000000,0.00000000,0.00000000,1.00000000,5.74652033,20.91602637,11.71983230,46.82112917,11773.58316026,1,1,1,1,0,0,1
FCN-SR,0,9,0.19663789,0.05805343,1.20339300,3.76432483,0.96243853,0.02301901,0.93115113,0.00002855,-0.00006270,0.00000140,-0.00000419,-0.00000201,0.00000016,-0.14092402,1.01841483,4.22977009,1.24573310,4.22976401,-0.31356380,2.87629516,0.99936003,-0.03296481,-0.01388711,0.19784536,0.03214989,0.99795195,-0.05530185,0.79777401,0.01568168,0.05481999,0.99837310,0.50070127,0.00000000,0.00000000,0.00000000,1.00000000,5.79526853,20.88771928,11.72648689,46.67566248,11779.53064117,1,1,1,1,0,0,1
