Method,Iteration,RMSE,Fitness,TransError,RotError,CorrNum
FCN-SR,0,0.31669773,0.05170590,0.96437649,1.91178129,197
FCN-SR,1,0.30927616,0.06056599,0.96336666,2.89617938,237
FCN-SR,2,0.25078158,0.06056599,0.96264126,3.58342231,248
FCN-SR,3,0.20226536,0.05831791,0.96255304,3.66258045,283
FCN-SR,4,0.19735354,0.05964031,0.96250674,3.70440458,296
FCN-SR,5,0.20157618,0.05924359,0.96247695,3.73107825,295
FCN-SR,6,0.19788037,0.05897911,0.96245868,3.74681853,297
FCN-SR,7,0.19839565,0.05884687,0.96244906,3.75508557,298
FCN-SR,8,0.19804085,0.05831791,0.96244117,3.76210528,296
FCN-SR,9,0.19663789,0.05805343,0.96243853,3.76432483,294
FCN-SR,10,0.19579032,0.05778894,0.96243846,3.76442445,292
FCN-SR,11,0.19578043,0.05778894,0.96243839,3.76449706,292
ME-SR,0,0.31669773,0.05170590,0.96283652,2.78458174,197
ME-SR,1,0.24785755,0.06307855,0.96206478,3.56162238,285
ME-SR,2,0.19885737,0.05818567,0.96200700,3.59595349,287
ME-SR,3,0.20026495,0.05897911,0.96199491,3.57508179,289
ME-SR,4,0.20033108,0.05765670,0.96195925,3.54744828,277
ME-SR,5,0.20868641,0.05805343,0.96189962,3.61942138,286
ME-SR,6,0.20535565,0.05871463,0.96188936,3.62497215,294
ME-SR,7,0.20797313,0.05792118,0.96179041,3.73912105,285
ME-SR,8,0.20560860,0.05845015,0.96182104,3.73808840,293
ME-SR,9,0.19845087,0.05924359,0.96183333,3.72831684,295
ME-SR,10,0.19673312,0.05937583,0.96187235,3.67342598,298
ME-SR,11,0.20020115,0.05818567,0.96185878,3.70155989,286
ME-SR,12,0.19706568,0.05858239,0.96189191,3.64875350,290
ME-SR,13,0.19897482,0.05884687,0.96188932,3.67732716,292
ME-SR,14,0.19754146,0.05752446,0.96190773,3.63867628,283
ME-SR,15,0.19822608,0.05911135,0.96190230,3.66622862,293
ME-SR,16,0.19671644,0.05792118,0.96191802,3.63164317,285
ME-SR,17,0.19744508,0.05831791,0.96191388,3.65944083,288
ME-SR,18,0.19671633,0.05778894,0.96192754,3.62596231,284
ME-SR,19,0.19757888,0.05845015,0.96191794,3.65885397,288
ME-SR,20,0.19707085,0.05765670,0.96193100,3.62598972,283
ME-SR,21,0.19732990,0.05884687,0.96192009,3.65974924,289
ME-SR,22,0.19700146,0.05765670,0.96193165,3.62790995,283
ME-SR,23,0.19697852,0.05871463,0.96192013,3.66228828,290
ME-SR,24,0.19626447,0.05778894,0.96193579,3.62733093,284
ME-SR,25,0.19754276,0.05845015,0.96192726,3.65929219,288
ME-SR,26,0.19671277,0.05778894,0.96194065,3.62613286,284
ME-SR,27,0.19757776,0.05871463,0.96193100,3.65898960,288
ME-SR,28,0.19672370,0.05778894,0.96194406,3.62612255,284
ME-SR,29,0.19732921,0.05884687,0.96193315,3.65982914,289
ME-TReg,0,0.31669773,0.05170590,0.94703135,2.54790587,197
ME-TReg,1,0.24028071,0.06823592,0.91734853,3.46215404,299
ME-TReg,2,0.19328840,0.05739222,0.88663896,3.43050831,282
ME-TReg,3,0.17879326,0.05911135,0.85480152,3.20837787,284
ME-TReg,4,0.18302384,0.06083047,0.81880717,3.37144886,298
ME-TReg,5,0.17762532,0.06135943,0.78429379,3.24926758,288
ME-TReg,6,0.16438345,0.06175615,0.75127022,3.15891791,294
ME-TReg,7,0.15576265,0.06400423,0.72070820,3.05281907,303
ME-TReg,8,0.15211489,0.06731024,0.69098339,2.90936070,313
ME-TReg,9,0.14477791,0.07048400,0.65981076,2.67735444,320
ME-TReg,10,0.13681363,0.07431896,0.62826597,2.41028922,329
ME-TReg,11,0.13434117,0.07722825,0.59656115,2.09353394,324
ME-TReg,12,0.11667574,0.09098122,0.56721615,1.82068971,387
ME-TReg,13,0.10386845,0.10790796,0.53766849,1.53635837,472
ME-TReg,14,0.09865547,0.12919862,0.50735631,1.10407220,588
ME-TReg,15,0.08454178,0.13938112,0.47978993,0.66988511,691
ME-TReg,16,0.07008755,0.16120074,0.45432459,0.45275198,842
